,isin,name,ticker,pcs,acq
0,DE0008404005,ALLIANZ SE NA O.N.,ALV.DE,20.0,201.246
1,US02079K3059,"ALPHABET INC.CL.A DL-,001",ABEA.DE,3.0,2345.496667
2,US0378331005,APPLE INC.,APC.DE,100.0,126.4848
3,US0846707026,"BERKSH. H.B NEW DL-,00333",BRYN.DE,21.0,239.898095
4,LU1615092217,BNPPE-M.W.SRI SS5C. UECEO,EMWE.DE,434.75431,15.532485
5,US2546871060,DISNEY (WALT) CO.,WDP.DE,20.0,153.8905
6,DE000A0F5UF5,ISHARES NASDAQ-100 U.ETF,EXXT.DE,123.24744,110.28
7,DE0005933931,ISHS CORE DAX UCITS ETF,EXS1.DE,33.81886,108.028262
8,IE00B4L5Y983,ISHSIII-CORE MSCI WLD DLA,EUNL.DE,371.53223,63.26
9,US5949181045,"MICROSOFT DL-,00000625",MSF.DE,25.0,249.8204
10,US92826C8394,"VISA INC. CL. A DL -,0001",3V64.DE,20.0,197.8
11,DE0007664005,VOLKSWAGEN AG ST O.N.,VOW.DE,2.0,209.125
